Portfolio A,10/1/2011,10/31/2011,11/30/2011,12/30/2011,1/29/2012,2/28/2012,3/29/2012,4/28/2012,5/23/2012,6/22/2012,7/22/2012,8/21/2012,9/20/2012,10/20/2012,11/19/2012,12/19/2012,1/18/2013,2/15/2013,3/17/2013,4/16/2013,5/16/2013,6/15/2013,7/15/2013,8/14/2013,9/13/2013,10/13/2013,11/12/2013,12/12/2013,1/11/2014,2/10/2014,3/12/2014,4/11/2014,5/11/2014,6/10/2014,7/10/2014,8/9/2014,9/8/2014,10/8/2014,11/7/2014,12/7/2014,1/6/2015,2/5/2015,3/7/2015,4/6/2015,5/6/2015,6/5/2015,7/5/2015,8/4/2015,9/3/2015,10/3/2015,11/2/2015,12/2/2015,12/30/2015,1/29/2016,2/28/2016,3/29/2016,4/28/2016,5/25/2016,6/24/2016,7/24/2016,8/23/2016,9/22/2016,10/22/2016,11/21/2016,12/21/2016,1/20/2017,2/17/2017,3/19/2017,4/18/2017,5/18/2017,6/17/2017,7/17/2017,8/16/2017,9/15/2017,10/15/2017,11/14/2017,12/14/2017,1/13/2018,2/12/2018,3/14/2018,4/13/2018,5/13/2018,6/12/2018,7/12/2018,8/11/2018,9/10/2018,10/10/2018,11/9/2018,12/9/2018,1/8/2019,2/7/2019,3/9/2019,4/8/2019,5/8/2019,6/7/2019,7/7/2019,8/6/2019,9/5/2019,10/5/2019,11/4/2019,12/4/2019,1/3/2020,2/2/2020,3/3/2020,4/2/2020,5/2/2020,6/1/2020,7/1/2020,7/31/2020,8/30/2020,9/29/2020,10/29/2020,11/28/2020,12/28/2020,1/27/2021,2/26/2021,3/28/2021,4/27/2021,5/27/2021,6/26/2021,7/26/2021,8/25/2021,9/24/2021
SO,0.0216440,0.0283266,0.0164352,0.0542018,-0.0270037,-0.0155417,0.0112765,0.0245317,-0.0006582,0.0219539,0.0232009,-0.0380013,-0.0126582,0.0289567,-0.0812030,0.0128595,0.0039243,0.0279655,0.0272047,0.0622379,-0.0380220,-0.0384449,0.0231357,-0.0425906,-0.0607659,0.0095215,0.0009674,-0.0287509,0.0266169,0.0002423,0.0327035,0.0455079,-0.0293920,0.0080906,0.0236184,-0.0353943,0.0348351,0.0107720,0.0464032,0.0195205,0.0353798,-0.0008040,-0.1146651,0.0206771,-0.0186999,-0.0322142,0.0107829,0.0301484,-0.0414228,0.0615312,0.0006637,-0.0225514,0.0612932,0.0349059,-0.0151267,0.0626816,-0.0244141,-0.0146134,0.0543769,0.0654425,-0.0518885,0.0342294,-0.0491773,-0.0650934,0.0357594,-0.0036556,-0.0366788,0.0539749,-0.0081382,-0.0040024,0.0331525,-0.0851809,0.0414541,0.0336803,0.0098736,0.0228784,-0.0151023,-0.1331522,0.0004478,-0.0141003,-0.0024972,0.0138826,-0.0249158,0.1045120,-0.0329304,-0.0439655,-0.0094680,0.0653163,0.0087588,-0.0283778,0.0714908,0.0455655,0.0021401,0.0133955,0.0480843,0.0292451,0.0111881,0.0449596,0.0406723,-0.0029070,0.0153871,-0.0020737,0.1301151,-0.0961810,-0.1799687,0.0480916,0.0506191,-0.0837088,0.0329109,-0.0444973,0.0291299,0.0839851,0.0281739,0.0023392,-0.0241707,-0.0310899,0.0987306,0.0322529,-0.0104150,-0.0340873,0.0364287,0.0335792,-0.0411416
TFX,-0.0934464,0.1664069,0.0170398,0.0067346,-0.0039158,-0.0212940,0.0269456,0.0213494,-0.0405670,0.0320937,0.0169464,0.0223265,0.1177401,-0.0601727,0.0338958,0.0241877,0.0573339,0.0544087,0.0527681,0.0463054,-0.0513183,-0.0333747,0.0047491,-0.0153296,0.0141412,0.0895484,0.1096630,0.0041265,0.0154900,-0.0387050,0.1098877,-0.0074888,0.0418422,0.0059255,-0.0028050,-0.0136896,0.0433501,0.0018223,0.0359254,0.0353819,-0.0624099,0.0021706,0.0905153,0.0072824,0.0081334,0.0691875,0.0486280,-0.0329263,-0.0291620,-0.0075869,0.0396287,0.0018759,0.0110099,0.0190762,0.0525462,0.1098586,-0.0047316,0.0170940,0.0659819,0.0286131,0.0340619,-0.0276695,-0.0513240,-0.1049875,0.0665647,0.0312364,0.0810600,0.0864321,0.0091579,-0.0190114,0.0512145,0.0373630,0.0179138,0.0951627,0.0161544,0.0732962,-0.0280647,0.0544616,-0.0293995,0.0411050,-0.0307501,0.0301724,0.0738060,-0.0237652,-0.1668824,0.0910268,-0.0189097,0.0720968,-0.0327591,-0.0168371,0.0713890,0.0774853,0.0392970,-0.0231086,0.0301681,0.0899175,0.0900430,-0.0171221,-0.0786580,0.0615029,0.0142554,0.0594157,-0.0025359,-0.0978403,-0.1240248,0.1032171,0.1218614,0.0094396,0.0113030,0.0532029,-0.1461000,-0.0264946,0.1717435,0.0622077,-0.0843910,0.0694963,0.0442078,0.0555422,-0.0822224,0.0090880,-0.0214080,-0.0312052,0.0072934
WDC,-0.1428571,0.0829268,0.0912162,0.0646715,0.1912763,0.0680770,0.0667852,-0.0761723,-0.1767262,-0.1290323,0.0868687,0.3835192,-0.1251679,-0.0970054,-0.0079365,0.1771429,0.0876214,0.0723902,0.0207862,0.0489919,0.1349222,0.0948349,0.0555298,0.0036635,-0.0603008,0.0705407,0.0468795,0.0933038,0.0729140,0.0009455,-0.0062581,0.0481226,-0.0651854,0.1008974,0.0510024,0.0579604,-0.0049534,-0.0475906,0.0213255,0.0752303,0.0141837,-0.0228083,-0.0146960,-0.0915383,0.0180277,0.0000000,-0.1586381,0.0572538,-0.0306908,0.0041565,-0.1740930,-0.0801887,-0.0211505,-0.2146014,-0.0927470,0.1100391,-0.0467715,0.0186894,0.0835787,0.0884197,-0.1069714,0.2058065,-0.0454789,0.1429372,0.1316005,0.0492632,0.0228017,0.0201575,0.0844020,0.0390974,0.0293810,0.0668998,-0.0922068,0.0311008,-0.0190917,0.0547046,-0.0976196,0.0150048,-0.0183596,0.2533398,-0.1285853,-0.0979651,0.0123274,-0.0398198,-0.1855422,-0.1116475,-0.0508326,-0.1554940,-0.0890007,-0.0852136,0.2033587,0.0828609,0.0388643,-0.0947858,-0.2089936,0.3500271,0.0743934,0.1562150,-0.0639225,-0.0522504,-0.1368268,0.3619309,0.0407058,-0.1533314,-0.3254874,0.0330729,0.0859592,-0.0146240,0.0153121,-0.1085847,0.0234253,-0.0307731,0.1776437,0.1154189,0.0625250,0.2884001,-0.0464030,0.1086458,0.0470669,-0.0773794,-0.0817260,0.0191380,-0.1154198
XEL,-0.0065413,0.0637860,0.0170213,0.0513503,-0.0394356,-0.0052731,-0.0011359,0.0257771,0.0490566,0.0025180,0.0376749,-0.0224758,-0.0297135,0.0207802,-0.0664286,0.0470543,-0.0131531,0.0445931,0.0281039,0.0553633,-0.0118033,-0.0218978,0.0128901,-0.0354990,-0.0402778,0.0144718,0.0117689,-0.0207966,0.0093593,0.0253210,0.0406957,0.0223930,-0.0039229,0.0091894,0.0341463,-0.0424528,0.0568144,-0.0167806,0.0619469,0.0383929,0.0289481,0.0462396,-0.0926518,0.0284624,-0.0439372,-0.0346165,0.0182380,0.0367335,-0.0251830,0.0666867,0.0095748,-0.0175732,0.0207515,0.0500000,0.0345369,0.0536166,-0.0412866,0.0311622,0.0725786,0.0217090,-0.0463382,0.0168286,-0.0629371,-0.0213930,0.0399085,0.0039110,0.0162110,0.0378571,0.0346410,0.0119734,0.0427257,-0.0308888,0.0611448,0.0028606,-0.0120212,0.0682615,-0.0272201,-0.1012106,-0.0337823,-0.0050274,0.0215893,0.0119155,-0.0539880,0.0883044,0.0256798,0.0311382,-0.0034687,0.0307125,0.0619785,-0.0862327,0.0876151,0.0549595,-0.0132025,0.0103056,0.0635290,0.0238937,-0.0069022,0.0781069,-0.0133538,-0.0409147,0.0058394,0.0108047,0.1080089,-0.0538517,-0.0805053,0.0326051,0.0538548,-0.0237262,0.0755569,0.0062283,-0.0118037,0.0304443,-0.0477806,-0.0302850,-0.0229639,-0.0819492,0.1435399,0.0447761,0.0038571,-0.0456809,0.0186400,0.0000000,-0.0730493
ALLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0947172,0.0595238,0.0890851,-0.0786662,0.0093981,0.1238114,-0.0199189,-0.0942446,0.0369341,-0.0953658,0.1210838,0.0368202,-0.0010927,0.0391978,0.0173684,0.0631143,-0.0060016,0.0101175,-0.0378029,0.0515447,-0.0453457,-0.0130457,0.1311642,0.0083895,-0.0089272,-0.0908272,0.0402906,0.0101587,0.0251414,0.0502318,-0.0328182,0.0935788,0.0043133,-0.0433638,-0.0186821,0.0025089,-0.0350361,-0.0059497,0.1021360,0.0267504,0.0094377,0.0181722,0.0627263,-0.0163077,-0.0190523,0.0438895,0.0648786,-0.0594509,-0.0147165,0.0292605,-0.0513857,0.0703448,-0.0093721,-0.0911779,0.0692258,-0.0376050,0.0335104,0.0987398,-0.0583519,0.0571192,-0.0241638,-0.0663762,0.1141945,-0.0238043,0.0657033,0.0552966,0.0453724,0.0560784,-0.0922895,-0.0121206,0.0401541,0.1515890,0.0309828,0.0168323,0.0673450,-0.0971403,-0.2926094,0.1224828,0.0621570,0.0123199,-0.0238492,0.0395134,-0.0408163,-0.0106887,0.1623688,0.0042090,-0.0206951,-0.0300490,0.1608752,0.0900380,0.0183799,-0.0060636,-0.0091868,0.0223832,-0.0269236
CTLT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0975610,0.1324444,-0.0294349,0.1690255,-0.0816327,0.0354049,0.0847581,0.0241449,-0.0569745,0.0281250,-0.0138467,0.1595890,-0.1580035,-0.1213609,0.0986028,0.0021802,-0.0915619,-0.0699605,0.0314492,0.1215492,0.0925790,-0.0132428,-0.2157605,0.0741553,0.0428922,0.0430866,-0.0893729,0.0317526,0.0543565,-0.0064443,0.1176923,-0.0209911,-0.0231986,0.2004318,0.1229017,-0.0419114,-0.0164391,0.1186969,0.0630539,-0.1121963,0.0748591,0.0644034,-0.0473734,0.0477597,-0.0547462,-0.0139200,0.0136123,0.0783387,-0.0714945,0.0218579,0.0410792,-0.1242120,-0.0482538,-0.0815126,0.2052455,0.0581984,-0.0406504,0.1226321,0.0692718,0.1326827,0.0130156,-0.0454216,-0.0779147,0.0324836,0.0310633,0.0811124,0.1012862,-0.1489051,-0.0482180,0.3327994,0.1514423,-0.0426670,0.1904048,0.0590795,-0.0790270,0.0493016,0.0755118,0.0701061,0.0648328,0.0379735,-0.1018380,0.1037893,-0.0676838,0.0429115,0.0309278,0.1429204,0.0943864
AMAT,-0.1094033,0.2507614,-0.1250000,-0.0064935,0.1260504,0.0414594,-0.0063694,-0.0392628,-0.0785838,0.0534208,-0.0667260,0.1229743,-0.0288625,-0.0506993,-0.0460405,0.0945946,0.1155203,0.1517184,-0.0502183,0.0314176,0.0891530,0.0763984,0.0437262,-0.0449302,0.0114431,0.1376493,-0.0254144,-0.0521542,0.0358852,-0.0040416,0.1310145,-0.0199897,0.0183054,0.1242938,0.0447693,-0.0778312,0.0749170,-0.0670490,0.0605201,0.0806955,-0.0408416,0.0305376,0.0054257,-0.0801162,-0.1222924,0.0359897,-0.0436725,-0.1266217,-0.0635769,-0.0418782,0.1185430,0.1326229,0.0101225,-0.0690928,0.0691218,0.0911500,0.0106848,0.1298949,-0.0181741,0.1403358,0.1306153,0.0113523,-0.0376362,0.0754717,0.0392344,0.0386740,0.0587711,0.1093356,-0.0384129,0.1540079,0.0086541,0.0419959,-0.0366197,0.0602789,0.1675859,0.0250727,-0.0905707,0.0621711,-0.0917431,0.2167677,-0.0690686,-0.0144462,-0.0796236,-0.1018482,0.0562609,-0.1792746,-0.1305556,-0.0043567,-0.0032089,-0.0368745,0.2130052,-0.0353206,0.1145157,-0.0312209,-0.0016835,0.0467357,0.0662831,0.0867688,0.0059583,0.1004936,0.0062792,0.0912819,-0.0243424,-0.0281313,-0.2549966,0.1003700,0.1704498,0.0716466,0.0779155,-0.0424374,-0.0316558,-0.0025147,0.3862185,0.0289767,0.1615412,0.1989247,0.0636264,0.0880598,0.0076035,0.0230010,-0.0178027,-0.0408723,0.0685138
MCD,-0.0449650,0.0794001,0.0287561,0.0503559,-0.0163461,0.0110447,-0.0214472,-0.0019459,-0.0404454,-0.0327348,0.0066780,-0.0047223,0.0523046,-0.0504563,-0.0385529,0.0549153,0.0284249,0.0307355,0.0497338,0.0453485,-0.0186335,-0.0235364,0.0203565,-0.0460546,0.0129019,-0.0270159,0.0310389,-0.0364530,0.0077577,0.0003164,0.0405861,0.0058758,0.0359553,-0.0192495,-0.0029738,-0.0700935,-0.0110125,0.0143784,0.0135351,-0.0261830,-0.0022676,0.0209957,0.0357219,-0.0146351,0.0011425,-0.0088183,0.0011514,0.0364872,-0.0315715,0.0537444,0.1081348,0.0143609,0.0461633,0.0364230,-0.0532396,0.0578548,0.0318625,-0.0329515,-0.0309914,0.0666443,-0.0958399,0.0188384,-0.0322938,0.0522145,0.0307950,-0.0074687,0.0414799,0.0076682,0.0273334,0.1111867,0.0416978,0.0138435,0.0234445,-0.0124607,0.0515549,0.0187867,0.0299209,0.0031189,-0.0563105,-0.0345333,0.0220551,0.0184876,0.0122025,-0.0456427,-0.0061589,0.0438219,0.0199915,0.1043535,-0.0069377,-0.0219334,-0.0294574,0.0330899,0.0484316,0.0430866,0.0376206,0.0325092,0.0090498,0.0252709,-0.0344890,-0.1097584,0.0299481,0.0296948,0.0754698,-0.0728228,-0.1905168,0.1261300,0.0304613,-0.0146737,0.0520957,0.0990323,0.0241664,-0.0170569,0.0115841,-0.0157285,-0.0328007,-0.0041546,0.1028912,0.0335606,-0.0005107,-0.0160521,0.0557791,-0.0211083,0.0317799
ABC,-0.0947315,0.1415781,-0.0894608,0.0010767,0.0438290,-0.0288511,0.0397878,-0.0507653,-0.0330755,0.0463448,0.0189823,-0.0282018,0.0205005,0.0547874,0.0064309,0.0727451,0.0504009,0.0350955,0.0364807,0.1376812,-0.0100091,0.0231618,0.0463529,-0.0036058,0.0387730,0.0469476,0.0820789,0.0070288,0.0267559,-0.0600482,0.0197378,-0.0518617,0.0389590,0.0800960,0.0126371,0.0407296,0.0321518,-0.0056173,0.1134934,0.0672201,-0.0257131,0.0683078,0.0726593,0.0890265,0.0135063,-0.0224443,-0.0311211,-0.0168472,-0.0584691,-0.0501000,0.0298979,0.0104262,0.0646796,-0.1472101,-0.0328272,-0.0023089,0.0000000,-0.1909081,0.0189087,0.1321580,0.0419155,-0.0606810,-0.0424692,-0.0198651,0.0050988,0.0621433,0.0613963,-0.0424196,-0.0500518,0.0500242,0.0814396,-0.0110933,-0.1367706,0.0196176,-0.0318627,-0.0455696,0.1844828,0.1146568,-0.1014566,0.1020682,-0.1192940,0.0052983,0.0087076,-0.0140845,-0.0430876,0.0634481,0.0284162,-0.0217966,-0.0597569,-0.0957510,0.1356717,-0.0914918,0.0021809,0.0076805,0.0604675,0.0521083,-0.0423545,0.0229461,-0.0485821,0.0688981,0.0098286,-0.0492304,0.0201167,0.0019837,-0.0230581,0.0301585,0.1010183,0.0451918,0.0074409,-0.0315401,-0.0089663,-0.0163270,0.0900729,-0.0611968,0.1037190,-0.0526020,0.1761510,-0.0021000,-0.0319024,-0.0023476,0.0527279,-0.0223528,0.0356508
UHS,-0.2146197,0.2525854,0.0062547,-0.0338140,0.0607308,0.0863658,-0.0669942,0.0222595,-0.0986114,0.0381201,-0.0236419,0.0386399,0.1237599,-0.0240565,-0.0305292,0.1537206,0.1213101,0.0756838,0.0787182,-0.0117856,0.1102761,0.0286933,-0.0257474,0.0574071,-0.0044432,0.0814505,0.0415270,0.0021050,0.0378105,-0.0460769,-0.0418123,-0.0281360,0.1301434,0.1073292,-0.0098533,0.1563007,0.0294668,-0.0170831,-0.0946658,0.1056877,0.0042482,-0.0268530,0.0728596,0.0403418,-0.0231987,0.1045332,0.1175547,0.0268942,-0.0755607,-0.0360234,-0.0397483,-0.0175803,-0.0123436,-0.0614898,-0.0201527,0.1226783,0.0887741,0.0624364,0.0037558,0.0024945,-0.1109485,0.0228021,0.0013682,-0.0109307,-0.1325370,0.0562061,0.0823063,-0.0280602,0.0032636,-0.0122612,-0.0244891,0.0742729,-0.1242546,0.0183106,-0.0458119,-0.0814394,0.1642268,0.0309041,-0.0069576,0.0661707,-0.0293688,-0.0077733,-0.0227445,-0.0127575,0.0863529,0.0077158,0.0038284,0.0447322,-0.0317134,-0.0417845,0.0896721,-0.0243719,0.0254433,-0.0825564,0.0138502,0.0646674,0.1114570,-0.0085388,-0.0004823,-0.0381885,0.0106787,0.0067366,-0.0331760,-0.0868425,-0.2922451,0.1095705,0.0625825,-0.1090926,0.1794376,0.0040946,-0.0708654,0.0284795,0.2383120,0.0455659,-0.0793965,-0.0028642,0.0781936,0.0797750,0.0906038,-0.0679319,0.0424083,0.0036220,-0.0670877
CAT,-0.2032750,0.3389086,0.0362058,-0.0743768,0.2186534,0.0484558,-0.0841396,-0.0306546,-0.1441534,-0.0713739,-0.0397834,0.1067664,0.0249197,-0.0806138,-0.0171603,0.0857450,0.0752285,0.0044122,-0.0653697,-0.0755372,0.0504782,-0.0329569,0.0414681,-0.0180778,0.0138662,-0.0088496,-0.0277134,0.0205128,0.0504850,0.0512849,0.0245503,0.0478207,0.0468211,0.0292844,0.0004574,-0.0444404,0.0326316,-0.1043462,0.0528712,-0.0639741,-0.0921785,-0.0335376,-0.0330262,0.0084148,0.0674929,-0.0108058,-0.0337013,-0.0787733,-0.0280679,-0.0707858,0.0745880,-0.0445252,-0.0545079,-0.0939001,0.0877249,0.1227474,0.0228917,-0.0549551,0.0063387,0.0775024,0.0676071,-0.0060707,0.0298204,0.0803582,0.0099031,0.0081006,0.0591450,-0.0349014,-0.0105870,0.0617650,0.0725404,0.0125593,0.0485116,0.0635296,0.0832166,0.0461702,0.0635452,0.1574378,-0.1005257,0.0016416,-0.0151436,0.0336151,0.0142324,-0.1147374,-0.0315593,0.0520664,0.0117564,-0.1169635,-0.0277362,0.0517060,-0.0076289,0.0336232,0.0504094,-0.0562867,-0.0567639,0.0834003,-0.0946307,0.0074541,-0.0222782,0.2217879,-0.0462837,0.0593777,-0.1257747,-0.0415350,-0.0614247,-0.0772657,0.1186409,0.0461411,0.0541012,0.0709663,0.0358373,0.0492504,0.1223249,0.0275361,0.0126703,0.1951503,0.0664258,0.0005212,0.0474950,-0.1036555,-0.0242290,0.0176752,-0.0835351
SYF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0832970,0.0072464,0.1250999,0.0483126,-0.0223653,0.1091854,-0.0006250,-0.0669168,0.0754021,0.0221253,-0.0091463,0.0587692,-0.0645161,0.0347934,-0.0594416,0.0162783,-0.0439837,-0.0660532,-0.0517241,0.0538033,0.0904930,0.0072273,-0.1963470,0.1400162,-0.0288359,0.0073314,0.0476710,0.1677666,0.1035098,-0.0231806,0.0217270,-0.0676118,-0.0394737,-0.1933029,0.1101887,0.0078178,0.0411467,-0.0599287,0.0854583,0.0336508,0.1360565,0.0254123,-0.0445558,-0.0038631,-0.0562327,-0.0038157,0.0400707,-0.0662890,-0.1143811,0.1024323,-0.0515848,-0.0950197,-0.0963070,0.0184295,0.1845004,0.0634341,0.0162399,0.0393362,-0.0011827,0.0568384,-0.0400560,-0.0288882,-0.0258413,0.1165947,0.0353591,-0.0477588,-0.0916223,-0.1095003,-0.5043298,0.2879106,0.1448725,0.0241706,0.0240629,0.1211026,0.0298267,-0.0035225,0.1967793,0.1142107,0.0126657,0.1250727,0.0418821,0.0106700,0.1711269,0.0165618,-0.0278408,0.0907934,-0.0231427
EL,-0.1423915,0.1693587,0.1982531,-0.0479742,0.0277778,0.0100485,0.0674099,0.0501366,-0.1249600,0.0042055,-0.0447924,0.1505909,0.0208748,0.0157416,-0.0781275,0.0457539,0.0415976,-0.0134438,-0.0106164,0.0872838,0.0425689,-0.0081944,-0.0393162,-0.0342527,0.0870567,0.0120056,-0.0135380,0.0338144,0.0105378,-0.1008938,0.0573882,-0.0287749,0.0799355,0.0378922,-0.0226381,0.0108448,0.0011921,-0.0112449,-0.0289002,0.0227335,-0.0032332,0.0596026,0.0571429,0.0252172,0.0288337,0.0004576,-0.0060599,0.0375014,-0.1210777,0.0480636,0.0468223,-0.0365643,0.0583690,-0.0424576,0.0713196,0.0310960,0.0313263,-0.0282939,-0.0250978,0.0383372,-0.0171729,-0.0309053,-0.0237773,-0.1016969,0.0038551,0.0193292,0.0722846,0.0177647,-0.0025431,0.0589871,0.0745240,-0.0202668,0.0506237,0.0852874,0.0144954,0.1324587,0.0142041,0.0066505,0.0650552,0.0588192,0.0256393,-0.0549694,0.1170447,-0.1161754,-0.0468885,0.0470037,-0.0624323,0.0795227,-0.0160451,-0.0380490,0.1475175,0.0341409,0.0464098,0.0117097,0.0606297,0.0474387,-0.0307152,0.1415683,-0.0476144,-0.0689991,0.0886933,0.0345176,-0.0415242,-0.0398063,-0.2079728,0.1686884,0.1493864,-0.0553809,0.0433634,0.1224056,-0.0313007,0.0389235,0.0993995,0.0754117,-0.1060193,0.2120416,0.0163367,0.0859464,-0.0378764,0.0362049,0.0597062,0.0060002,-0.0437493
SEE,-0.1437191,0.1402947,-0.0101124,-0.0232690,0.1371296,0.0189065,-0.0240722,-0.0143885,-0.1392608,-0.0304916,-0.0109114,-0.1343284,0.2421289,-0.0319855,0.0442643,0.0286567,0.0911201,0.0435718,0.2381443,-0.0895087,0.0800183,0.0287892,0.1362140,0.0977907,-0.0089080,-0.0905459,0.1310395,0.0210356,0.0545166,-0.0363691,0.0221460,-0.0735429,0.1096838,0.0026714,-0.0168739,0.0009033,0.1179302,-0.0890743,0.1488922,0.0493700,0.0367557,-0.0080359,0.0981654,-0.0114992,0.0294118,0.0345416,0.0770816,0.0332951,-0.0538889,-0.0536308,0.0308170,-0.0977127,-0.0094797,-0.0979301,0.1283000,0.0575115,-0.0002068,-0.0910323,-0.0291924,0.0656277,-0.0185376,-0.0291710,-0.0676610,0.0830049,0.0053522,0.0278961,-0.0172840,-0.0326633,-0.0701299,-0.0004655,0.0549604,0.0181015,-0.0140937,-0.0444249,0.0276180,0.0100784,0.0649667,0.0083281,-0.1220318,0.0397460,-0.0070120,0.0004556,0.0086521,-0.0410835,-0.0670904,0.0239717,-0.1096599,-0.0285082,-0.0299145,0.0587372,0.2280166,0.0128755,0.0303301,-0.0647186,0.0367970,-0.0176339,0.0072711,-0.1130160,0.0208545,0.0393622,-0.0992330,0.0180947,-0.0541035,-0.1461730,-0.2119741,0.1174538,0.1918412,-0.0009251,0.1012346,0.1014574,-0.0374046,0.0618557,0.1217326,0.0104305,-0.0568856,-0.0242198,0.1303103,0.0198480,0.1724638,0.0340809,-0.0524249,0.1023608,-0.0632663
ATVI,0.0328436,0.1205021,-0.0724421,-0.0080515,-0.0121753,-0.0090386,0.0588723,0.0086139,-0.0024272,-0.0437956,0.0127226,-0.0033501,0.0000000,-0.0638655,0.0089767,-0.0346975,0.0470046,0.2583187,0.0000000,0.0041754,0.0297990,-0.0087483,0.0271555,0.1526768,-0.0269495,0.0506777,-0.0403814,-0.0263004,0.0726291,0.0833800,0.0640496,-0.0757282,0.0856092,0.0377358,0.0461538,0.0160428,0.0464912,-0.1349539,0.0004845,0.0130751,-0.0688337,0.1201232,0.0687443,-0.0278731,0.0233789,0.1107759,-0.0368646,0.0342466,0.1141410,0.1178322,0.0813262,0.1102112,0.0469995,-0.1169161,-0.0904652,0.0495737,0.0198556,0.1154066,-0.0505777,0.1465657,-0.0415094,0.0952264,0.0215682,-0.1548274,-0.0398126,0.0560976,0.1599284,0.0800794,0.0042892,0.1216189,0.0937443,0.0029841,0.0395041,0.0335506,-0.0541538,0.0414769,0.0156177,0.0565893,-0.0056760,0.0863583,-0.1123686,0.0883424,0.0591353,0.0715038,-0.1333415,0.0530346,-0.0091570,-0.2523784,-0.1296128,0.0436508,-0.1202722,-0.0236579,0.1083411,-0.0157662,-0.0307561,0.0240194,0.0025823,0.1714960,0.0152070,0.0054142,-0.0328487,0.0889013,-0.0078405,0.0092768,0.0345532,0.0974005,0.0943028,0.0690506,0.0589517,0.0107709,-0.0328065,-0.0372617,0.0219879,0.1503523,-0.0301870,0.0782677,-0.0166301,-0.0257392,0.0616812,-0.0190231,-0.0551363,-0.1035057,-0.0686796
HES,-0.1731862,0.2648605,-0.0374041,-0.0567918,-0.0290493,0.1941976,-0.1128151,-0.1076502,-0.1542868,-0.1042167,0.0831707,0.1364558,0.0984743,-0.0167749,-0.0737479,0.0505051,0.0871041,0.1821848,0.0711955,-0.0474938,0.0046518,-0.0231515,0.0525848,0.0620602,0.0298132,0.0461915,-0.0168491,-0.0172629,0.0039460,-0.0238367,0.0496168,0.0342779,0.0569514,0.0675798,0.0444280,0.0166497,-0.0038945,-0.1136842,-0.0401538,-0.1596748,-0.0259431,0.0534120,-0.0375837,0.0299631,0.0267476,-0.1126628,-0.0252724,-0.1065052,-0.0026064,-0.0264808,0.0311382,-0.0152725,-0.1835593,-0.1177081,0.0258824,0.1559633,0.1742063,-0.0198804,-0.0793206,-0.0540928,0.0683583,-0.1531372,0.0929259,0.0112984,0.2035599,-0.0877911,-0.1203468,-0.0666667,-0.0022774,-0.0085080,-0.1008790,0.0146648,-0.0986465,0.0733011,0.0917714,-0.0245439,-0.0498775,0.2547457,-0.1755697,0.1003625,0.1595635,0.1209162,-0.0421353,0.1036878,-0.0510938,-0.0123164,0.0741807,-0.1196607,-0.1295013,-0.0584580,0.0808581,0.0673664,0.1278384,0.0057070,-0.1086066,0.0912467,-0.0682223,0.1302609,-0.0352362,0.1043062,-0.1158290,0.1408037,-0.1920103,0.0225058,-0.3882149,0.3113314,0.0520631,0.0236140,-0.0128385,-0.0644178,-0.1162033,-0.0862620,0.2689618,0.1197541,0.0594359,0.1708058,0.0927819,-0.0161989,0.2092264,0.0116211,-0.1198654,-0.0858273,0.0865301
